"label","domain","title","description","city","country"
"other","www.tesco.com","Tesco - Supermarkets | Online Groceries, Clubcard & Recipes","With over 3,400 stores nationwide you're sure to find a Tesco near you. Or why not try our online grocery shopping and delivery service. Open 7 days a week. Earn Clubcard points when you shop.",,
"other","www.autotrader.co.uk","Auto Trader UK - Find New & Used Cars for Sale","Find your next car with Auto Trader UK, the official #1 site to buy and sell new and used cars. Over 500,000 cars online. Simple, easy, quick!",,
"other","www.whatsonstage.com","Theatre shows, special offers, news, reviews and more | WhatsOnStage","Find London theatre tickets for current shows at West End and Off-West End theatres. Read theatre reviews, news, and get discount tickets at WhatsOnStage","West End",
"other","www.theatermania.com","Broadway, regional and discount theater tickets | News, reviews, and more | TheaterMania","Get Broadway tickets at great prices and find discount theater tickets for your favorite Broadway shows at TheaterMania.com",,
"other","www.bhg.com","Better Homes and Gardens | Home Decorating, Remodeling and Design Ideas, Gardening, Recipes | Better Homes & Gardens","Daily ideas and inspiration from the trusted Better Homes & Gardens editors. Get decorating ideas and DIY projects for your home, easy recipes, entertaining ideas, and comprehensive information about plants from our Plant Encyclopedia.",,
"other","shopping.yahoo.com","Yahoo Shopping - We'll track the prices for you!","Discover deals, product reviews, and compare prices on your favorite items. Plus, shop stores like Walmart, Nordstrom Rack, Amazon and more.",,
"other","www.refinery29.com","Refinery29","Refinery29 is a modern woman's destination for how to live a stylish, well-rounded life. Read on for breaking entertainment news, fashion tips, health, and more.",,
"other","www.ultimate-guitar.com","ULTIMATE GUITAR TABS - 1,100,000 songs catalog with free Chords, Guitar Tabs, Bass Tabs, Ukulele Chords and Guitar Pro Tabs!","Your #1 source for chords, guitar tabs, bass tabs, ukulele chords, guitar pro and power tabs. Comprehensive tabs archive with over 1,100,000 tabs! Tabs search engine, guitar lessons, gear reviews, rock news and forums!",,
"other","www.pagalguy.com","India's Largest Education Network | Connect with Students, Colleges and Alumni - PaGaLGuY","PaGaLGuY - A place to connect with students, colleges and alumni in India. Stay tuned on the largest education network and track the latest discussions on exams, colleges, admissions and recruitment.",,"India"
"other","www.eglobalist.com",,,,
"other","www.eastlaketimes.com",,,,
"other","www.goodtoknow.co.uk","Easy Recipes & Family And Health Advice You Can Trust | GoodtoKnow","GoodtoKnow is the home of cheap, quick and easy recipes, honest family advice and health information for busy mums just like you.",,
"other","statereviewer.com","State Reviewer",,,
"other","www.ferrari.com","Official Ferrari website","Ferrari - All the official contents of the Maranello based carmaker: all the cars in the range and the great historic cars, the official Ferrari dealers, the online store and the sports activities of a brand that has distinguished Italian excellence around the world since 1947",,
"other","clarion.causeaction.com","CauseACTION Clarion",,,
"other","www.modernreaders.com","Modern Readers",,,
"other","www.marieclaire.co.uk","The latest fashion & beauty trends, opinion, celebrity news | Marie Claire","The home of Marie Claire's fashion and beauty shopping advice, trends and tips, global reportage, news and interviews with the world's biggest celebrities",,
"other","www.broadwayworld.com","Broadway World - #1 for Broadway Shows, Theatre, Entertainment, Tickets & More!","Broadway World - #1 for Broadway, Theatre, Entertainment, Broadway Shows & Tickets",,
"other","centreforaviation.com","CAPA - Centre for Aviation","The latest aviation, airline and airport news and data as well as current indepth industry analysis and research from around the world.",,
"other","www.sportskeeda.com","ShieldSquare Captcha",,,
"other","www.trumba.com","
	Trumba - Online Website Calendar and Event Registration Software
","Trumba offers web-hosted event calendar software for publishing online, interactive, calendars of events.",,
"other","www.scoopwhoop.com","ScoopWhoop","ScoopWhoop: Get Latest News from India & World, Top Trending Stories from Lifestyle, Humor, Sports, Travel, Foods, Technology, Women, Education, Politics & Crime, Viral Photos and Videos.",,"India"
"other","www.ni.com","Automated Test and Automated Measurement Systems - National Instruments","NI equips engineers and scientists with systems that accelerate productivity, innovation, and discovery.",,
"sports","www.goal.com","Soccer News, Live Scores, Results & Transfers | Goal.com US","The latest soccer news, live scores, results, rumours, transfers, fixture schedules, table standings and player profiles from around the world, including Premier League.",,
"sports","www.cbssports.com","CBS Sports - News, Live Scores, Schedules, Fantasy Games, Video and more. - CBSSports.com","CBS Sports features live scoring, news, stats, and player info for NFL football, MLB baseball, NBA basketball, NHL hockey, college basketball and football.",,
"sports","www.si.com","Sports Illustrated","Sports Illustrated, SI.com provides sports news, expert analysis, highlights, stats and scores for the NFL, NBA, MLB, NHL, college football, soccer, fantasy, gambling and more",,
"sports","sports.yahoo.com","Yahoo! Sports - News, Scores, Standings, Rumors, Fantasy Games","Yahoo! Sports - Comprehensive  news, scores, standings, fantasy games, rumors, and more",,
"sports","www.foxsports.com","Home - Sports News, Scores, Schedules, and Videos | FOX Sports","Find live scores, player & team news, videos, rumors, stats, standings, schedules & fantasy games on FOX Sports.",,
"sports","www.sify.com","Sify.com | Live Cricket Scores | IND vs SL | Gold Rate | Movie Reviews | Lok Sabha Elections 2019 | Latest News | India News","Sify.com, GST, Gold rates, Narendra Modi, India news, india vs west indies, icc world cup 2019 , indian premier league, cricket, Indian Elections 2019,live cricket scores, india in new zealand, Union Budget 2018-19, Live Union Budget 2018-19 coverage, sports, cricket, movie news and reviews, Indian business, finance news, stock market tips, Indian recipes, astrology, Gold rate, rupee, government jobs, ibps, banking jobs, today IPL match,  ",,"India"
"sports","www.sportingnews.com","Sporting News - NFL | NBA | MLB | NCAA | NASCAR | UFC | Boxing","The latest news, videos, scores and more on the biggest sports, including NFL, NBA, MLB, NCAA, NASCAR and more with Sporting News",,
"sports","bleacherreport.com","Bleacher Report | Sports. Highlights. News. Now.","Sports journalists and bloggers covering NFL, MLB, NBA, NHL, MMA, college football and basketball, NASCAR, fantasy sports and more. News, photos, mock drafts, game scores, player profiles and more!",,
"sports","sports.ndtv.com","Latest Sports News, Live Scores, Results Today's Sports Headlines Updates - NDTV Sports ","NDTV Sports is the ultimate destination for Sports fans from around the World. Get latest sports news and updates from Cricket, Tennis, Football, Formula One, Hockey, NBA and Golf with Live scores and Stats",,
"sports","thespun.com","The Spun: What's Trending In The Sports World Today","The Spun covers the most interesting sports stories for the NFL, the NBA, college football, college basketball, Major League Baseball and more.",,
"sports","www.clubcall.com","ClubCall.com | English Premier and League football audio-text bulletins for fans who want to listen to live score updates, betting tips, latest transfers and news service dedicated to their team.","English Premier and League football audio-text bulletins for fans who want to listen to live score updates, betting tips, latest transfers and news service dedicated to their team. ClubCall.com",,
"tech_news","www.techradar.com","TechRadar | The source for tech buying advice","The latest technology news and reviews, covering computing, home entertainment systems, gadgets and more",,
"tech_news","www.tomsguide.com","Tom's Guide | Tech Product Reviews, Top Picks and How To","Tom's Guide upgrades your life by helping you decide what tech to buy, showing you how to get the most out of it and solving problems as they arise. Tom's Guide is here to help you.... ",,
"tech_news","www.engadget.com","Engadget","Engadget is the original home for technology news and reviews. Since its founding in 2004, we've grown from an exhaustive source for consumer tech news to a global multimedia organization covering the intersection of technology, gaming and entertainment.",,
"tech_news","www.geeky-gadgets.com","Geeky Gadgets - Gadgets and Technology News","Geeky Gadgets brings you the latest gadgets and technology news from around the US, UK and around the globe, you will also find the latest auto news and much more.",,
"tech_news","www.bioworld.com","BioWorld: The Daily Biopharmaceutical and Medical Technology News Source","Daily news and analysis of the global biotechnology, pharmaceutical and medical technology industries.",,
"tech_news","techcrunch.com","TechCrunch – Startup and Technology News","TechCrunch - Reporting on the business of technology, startups, venture capital funding, and Silicon Valley",,
"tech_news","www.zdnet.com","Technology News, Analysis, Comments and Product Reviews for IT Professionals | ZDNet","ZDNet's breaking news, analysis, and research keeps business technology professionals in touch with the latest IT trends, issues and events.",,
"tech_news","mspoweruser.com","MSPoweruser - Microsoft and Technology News","MSPU covers Windows 10, Surface, Mixed Reality and much more.",,
"tech_news","gadgets.ndtv.com","Tech News, Latest Technology, Mobiles, Laptops – NDTV Gadgets 360","Tech News, Latest technology news daily, new best tech gadgets reviews which include mobiles, tablets, laptops, video games. Being a tech news site we cover the latest tech news daily online from India and around the world, reviews, updates on technology today from companies like google, apple, samsung and others also new and upcoming mobiles, cameras, laptops, video games.",,"India"
"tech_news","www.gizbot.com","Technology News, Smartphone News & Reviews, Gadget Launches, Laptops, Mobile Prices, How-To, Live Updates - Gizbot ",,,
"tech_news","thetechportal.com","The Tech Portal - Global technology news, latest gadget news and breaking tech news.","The Tech Portal is the most trusted source for latest and breaking coverage on technology and startups. Your most definitve source for technology and startup news.",,
,"www.thehindu.com","
The Hindu: Breaking News, India News, Sports News and Live Updates
","Today's News Headlines, Breaking News & Latest News from India and World, News from Politics, Sports, Business, Arts and Entertainment",,"India"
,"www.sfchronicle.com","San Francisco Chronicle - Bay Area news, sports, tech, food - San Francisco Chronicle","Exclusive Bay Area and San Francisco breaking news, sports, tech, and food and wine coverage, plus enhanced coverage of Giants, 49ers and Warriors","San Francisco",
,"www.houstonchronicle.com","Houston Chronicle | HoustonChronicle.com - Houston Chronicle","Get the latest news on Houston, Texas, the United States and the world from the Houston Chronicle on HoustonChronicle.com.","Houston","United States"
,"www.urdupoint.com","UrduPoint.com, Urdu News, Poetry Technology Sports, Health and more","The largest Urdu web site of the world, Urdu News, Urdu Poetry, Horoscope, Technology, Weather, Business, Sports, Health, Islam, Women, Show-biz, Addab, Islamic Names, Articles and Features.",,
,"dailyasianage.com","Bangladesh English Newspaper | BD Online Newspaper - The Asian Age",,,
,"www.seattletimes.com","The Seattle Times | Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest.","Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest.","Seattle",
,"www.thehansindia.com","Latest News in Hyderabad, Telangana, Andhra Pradesh - THE HANS INDIA","Latest News, Breaking News, Hyderabad News, Amaravati News, World, Politics, Cinema, World, Business - The Hans India",,"India"
,"www.wkrb13.com","WKRB News",,,
,"www.sandiegouniontribune.com","ERROR: The request could not be satisfied",,,
,"www.krqe.com","Local News & Weather | Albuquerque, NM | KRQE News 13","We are local reporting you can trust, providing the latest news and accurate weather forecasts from Albuquerque to across the state of New Mexico.","Albuquerque",
,"www.hindustantimes.com","News Headlines, English News, Today Headlines, Top Stories | Hindustan Times","News Headlines: Hindustan Times provides exclusive top stories of the day, today headlines from politics, business, technology, photos, videos, latest English news and much more",,
,"www.texomashomepage.com","Texoma's News & Weather | Wichita Falls, TX | Texomashomepage.com",,"Wichita Falls",
,"allafrica.com","Home - allAfrica.com","allAfrica: African news and information for a global audience",,
